Id,ProjectId,Month,AvgHighTemp,AvgLowTemp,RecordAvgHighTemp,RecordAvgLowTemp,AvgRain,RecordHighAvgRain,RecordLowAvgRain,AvgSnow,RecordHighAvgSnow,RecordLowAvgSnow,AvgHighWind,AvgLowWind,RecordAvgHighWind,RecordAvgLowWind
1,0063l00000s4VTMAA2,1,40.8,13.6,47.8,13.6,2.3,4.7,1.1,3.4,24,0,5.3,3.3,6.12,4.48
2,0063l00000s4VTMAA2,2,44.6,20.5,51.9,20.5,1.7,3.3,0.2,1.2,13.8,0,7.12,5.12,7.36,6.88
3,0063l00000s4VTMAA2,3,51.7,30.8,57.7,30.8,2.1,5.5,0.6,0.9,9.5,0,8.66,6.66,9.47,7.85
4,0063l00000s4VTMAA2,4,58.9,32.8,65.6,32.8,1.4,2.9,0.5,0.1,1.7,0,8.61,6.61,9.18,8.04
5,0063l00000s4VTMAA2,5,66.2,37.9,71,37.9,1.6,4.3,0.7,0,0,0,9.425,7.425,10.7,8.15
6,0063l00000s4VTMAA2,6,74.2,45,78.6,45,1.2,2.5,0.1,0,0,0,8.635,6.635,9.21,8.06
7,0063l00000s4VTMAA2,7,86.2,47.1,91.5,47.1,0.4,1,0,0,0,0,8.05,6.05,8.11,7.99
8,0063l00000s4VTMAA2,8,85.9,48.2,90.7,48.2,0.4,1.7,0,0,0,0,7.33,5.33,7.59,7.07
9,0063l00000s4VTMAA2,9,76,40.1,81,40.1,0.6,2.8,0,0,0,0,7.335,5.335,8.09,6.58
10,0063l00000s4VTMAA2,10,61.3,29.7,67.4,29.7,1.3,2.6,0.2,0,0,0,7.225,5.225,7.66,6.79
11,0063l00000s4VTMAA2,11,48.6,22.6,56.8,22.6,2.1,4.4,0.9,1,6.5,0,7.15,5.15,8.67,5.63
12,0063l00000s4VTMAA2,12,39.4,18.8,43.1,18.8,2.4,4,1,3.6,26.2,0,6.02,4.02,6.64,5.4
13,006Rd000008xULhIAM,1,57.9,31.1,67.3,25.8,1,3,0,0.7,9.5,0,9.735,7.735,9.86,9.61
14,006Rd000008xULhIAM,2,61.3,33.7,70.8,22.3,1.5,3.8,0,1.6,13.1,0,10.74,8.74,11.27,10.21
15,006Rd000008xULhIAM,3,70.4,42.9,76.5,34.6,1.9,5.4,0.3,0.1,1.3,0,11.74,9.74,13.22,10.26
16,006Rd000008xULhIAM,4,78.6,50.7,88.2,43.9,2.4,7.2,0,0,0,0,11.5,9.5,12.81,10.19
17,006Rd000008xULhIAM,5,84.9,60.2,94.1,55.6,3.9,11,0.6,0,0,0,10.29,8.29,10.62,9.96
18,006Rd000008xULhIAM,6,92.1,68.5,102.5,65.2,3.2,7.2,0.9,0,0,0,11.895,9.895,12.27,11.52
19,006Rd000008xULhIAM,7,95.1,71.5,104.1,68.7,2.4,11.6,0,0,0,0,9.74,7.74,9.96,9.52
20,006Rd000008xULhIAM,8,95.4,71,102.8,66.6,2.8,10.1,0.1,0,0,0,9.03,7.03,9.1,8.96
21,006Rd000008xULhIAM,9,88.5,63.7,95,59,3.2,10.6,0.1,0,0,0,7.895,5.895,8.22,7.57
22,006Rd000008xULhIAM,10,78.3,52.7,85.9,47.4,3.1,11.1,0.3,0.1,1.4,0,9.39,7.39,9.58,9.2
23,006Rd000008xULhIAM,11,67.6,42,73,35.5,1.6,5.5,0,0.6,6.6,0,9.6,7.6,10.26,8.94
24,006Rd000008xULhIAM,12,60.2,33.8,74.4,29.2,1.1,3.8,0,0.6,5.9,0,8.925,6.925,9.45,8.4
25,0063l00000kJUyQAAW,1,58.9,35.5,69,28.1,2.8,5.5,0.3,0.1,1,0,7.94,5.94,8.1,7.78
26,0063l00000kJUyQAAW,2,62.1,39.1,72.4,30.2,2.6,8,0.1,0.3,4,0,9.63,7.63,10.15,9.11
27,0063l00000kJUyQAAW,3,70.8,46.9,79.2,38.8,3.5,12,0.1,0.1,2,0,10.36,8.36,10.99,9.73
28,0063l00000kJUyQAAW,4,77.4,54.3,86.1,46.1,3.7,9,1.2,0,0,0,10.285,8.285,10.61,9.96
29,0063l00000kJUyQAAW,5,84.6,63.5,90.4,59.4,4.6,14.5,0.8,0,0,0,7.565,5.565,7.78,7.35
30,0063l00000kJUyQAAW,6,91.9,71.2,98.3,67.8,3.9,13.5,0.2,0,0,0,7.725,5.725,8.95,6.5
31,0063l00000kJUyQAAW,7,96.2,74.1,102.4,71.4,1.9,5.4,0,0,0,0,6.93,4.93,7.86,6
32,0063l00000kJUyQAAW,8,97.5,74.3,106,70.1,1.9,6.2,0,0,0,0,6,4,6.5,5.5
33,0063l00000kJUyQAAW,9,90.9,67.2,97.6,62.8,3.1,8.1,0,0,0,0,5.825,3.825,6.31,5.34
34,0063l00000kJUyQAAW,10,81.1,56.3,89.4,52.6,4.6,13.3,0.3,0,0,0,7.42,5.42,7.71,7.13
35,0063l00000kJUyQAAW,11,69.8,45.6,76.3,38.9,2.5,10.1,0,0,0,0,7.79,5.79,7.94,7.64
36,0063l00000kJUyQAAW,12,61.5,38,72.9,31.6,2.8,9.7,0.5,0.2,3.5,0,7.28,5.28,7.35,7.21
37,0063l00000kJsktAAC,1,63,37,72.7,31.2,2.8,7.7,0.2,0.1,1.3,0,8.575,6.575,8.8,8.35
38,0063l00000kJsktAAC,2,66.3,41,76.5,32,1.8,5.4,0,0.3,6.5,0,9.31,7.31,9.83,8.79
39,0063l00000kJsktAAC,3,73.9,48.7,80.7,41.9,2.7,6.2,0.1,0,0,0,8.83,6.83,9.33,8.33
40,0063l00000kJsktAAC,4,80.6,56.1,88,49.5,2.4,6.5,0.1,0,0,0,10.07,8.07,10.54,9.6
41,0063l00000kJsktAAC,5,87.5,65,92.3,60.7,5,15.8,0.5,0,0,0,9.055,7.055,9.47,8.64
42,0063l00000kJsktAAC,6,93.7,71.4,99.1,68.8,2.9,14.2,0.2,0,0,0,8.205,6.205,8.86,7.55
43,0063l00000kJsktAAC,7,96,72.7,101.4,70,2.3,7.6,0,0,0,0,7.32,5.32,7.86,6.78
